Date,Category,Description,Amount
24/06/2023,Medical Expenses,Debit,$38.08
23/01/2024,Category,Debit,$10.02
22/02/2023,Personal Care,Debit,$28.28
04/09/2023,Category,Debit,$69.23
12/03/2023,Medical Expenses,Debit,$26.16
19/04/2023,Entertainment,Credit,$46.79
13/03/2023,Category,Credit,$22.15
14/02/2023,Medical Expenses,Credit,$79.94
02/01/2023,Medical Expenses,Credit,$52.33
20/01/2023,Transport,Credit,$76.64
15/04/2024,Gifts & Donations,Credit,$14.31
19/06/2023,Gifts & Donations,Credit,$10.44
05/01/2024,Personal Care,Debit,$12.06
06/04/2024,Travel,Credit,$68.79
31/08/2023,Medical Expenses,Credit,$28.22
30/01/2024,Travel,Credit,$10.96
11/06/2024,Gifts & Donations,Credit,$89.39
10/01/2024,Entertainment,Debit,$91.57
10/04/2023,Food,Credit,$40.68
12/08/2023,Category,Debit,$46.70
04/08/2023,Transport,Credit,$53.95
17/03/2024,Medical Expenses,Debit,$6.07
17/04/2024,Entertainment,Debit,$57.93
12/03/2024,Medical Expenses,Debit,$46.15
02/04/2024,Medical Expenses,Debit,$73.71
01/08/2023,Personal Care,Credit,$35.36
10/04/2023,Category,Credit,$48.87
01/05/2023,Food,Credit,$85.16
09/05/2023,Transport,Credit,$26.86
28/05/2023,Personal Care,Debit,$76.03
17/04/2024,Food,Debit,$74.14
19/06/2023,Category,Debit,$70.30
19/05/2024,Gifts & Donations,Credit,$35.86
16/12/2023,Personal Care,Credit,$10.69
21/08/2023,Category,Credit,$29.06
19/01/2024,Travel,Debit,$86.66
28/09/2023,Travel,Debit,$64.50
12/03/2023,Personal Care,Credit,$97.77
26/03/2024,Personal Care,Credit,$57.46
18/07/2023,Category,Credit,$54.20
16/05/2024,Travel,Debit,$84.39
11/01/2024,Transport,Debit,$77.97
05/07/2023,Entertainment,Debit,$42.01
29/09/2023,Personal Care,Debit,$20.39
29/08/2023,Food,Credit,$28.57
08/10/2023,Entertainment,Credit,$78.83
10/07/2023,Category,Credit,$55.63
23/05/2023,Personal Care,Debit,$44.57
08/12/2023,Category,Debit,$63.71
20/05/2024,Food,Credit,$68.53
15/09/2023,Travel,Debit,$23.99
03/03/2024,Personal Care,Credit,$7.33
04/11/2023,Gifts & Donations,Debit,$27.40
23/02/2023,Travel,Debit,$35.89
03/09/2023,Entertainment,Debit,$53.24
11/07/2023,Entertainment,Credit,$80.01
29/09/2023,Category,Debit,$84.51
23/10/2023,Category,Debit,$95.92
05/08/2023,Personal Care,Debit,$18.44
08/06/2023,Personal Care,Debit,$16.84
16/08/2023,Category,Debit,$23.32
04/05/2024,Category,Credit,$54.79
05/12/2023,Food,Credit,$89.40
23/02/2023,Food,Credit,$68.50
08/06/2024,Food,Credit,$81.27
16/02/2023,Category,Debit,$83.74
24/03/2023,Gifts & Donations,Credit,$91.78
09/10/2023,Transport,Credit,$22.07
23/05/2024,Gifts & Donations,Credit,$7.30
01/03/2024,Gifts & Donations,Credit,$63.40
15/02/2024,Entertainment,Debit,$83.81
01/03/2024,Social Activities,Credit,$49.72
02/01/2024,Entertainment,Credit,$42.21
05/05/2023,Food,Credit,$78.65
12/10/2023,Category,Debit,$93.86
30/03/2023,Medical Expenses,Credit,$19.49
23/01/2024,Medical Expenses,Debit,$21.45
26/09/2023,Food,Credit,$35.82
11/08/2023,Medical Expenses,Credit,$18.75
15/02/2024,Medical Expenses,Debit,$59.01
18/02/2023,Gifts & Donations,Credit,$27.34
26/05/2024,Medical Expenses,Credit,$73.96
24/01/2024,Transport,Credit,$67.58
17/07/2023,Transport,Credit,$16.21
15/12/2023,Personal Care,Credit,$88.69
18/02/2023,Food,Credit,$98.45
01/01/2023,Medical Expenses,Debit,$19.43
15/02/2023,Entertainment,Credit,$81.14
11/04/2023,Entertainment,Credit,$13.06
06/02/2024,Gifts & Donations,Credit,$30.24
01/02/2023,Gifts & Donations,Credit,$23.18
03/04/2023,Social Activities,Credit,$69.52
22/04/2024,Personal Care,Debit,$72.38
27/04/2023,Category,Debit,$22.38
21/03/2024,Gifts & Donations,Debit,$20.34
27/01/2023,Transport,Credit,$73.70
19/04/2023,Medical Expenses,Credit,$90.69
13/02/2024,Travel,Debit,$85.67
19/03/2024,Medical Expenses,Debit,$75.66
30/08/2023,Category,Debit,$16.11
18/03/2023,Medical Expenses,Debit,$34.01
12/07/2023,Personal Care,Credit,$48.66
02/02/2023,Social Activities,Debit,$96.90
01/01/2023,Personal Care,Credit,$96.36
02/10/2023,Personal Care,Credit,$98.70
10/05/2024,Personal Care,Debit,$6.32
11/09/2023,Entertainment,Debit,$27.92
20/01/2023,Travel,Credit,$10.57
30/10/2023,Travel,Debit,$32.90
12/04/2023,Transport,Credit,$37.92
17/06/2024,Category,Debit,$91.15
15/05/2023,Personal Care,Debit,$21.64
21/04/2023,Personal Care,Debit,$7.82
09/08/2023,Medical Expenses,Credit,$57.20
17/12/2023,Travel,Debit,$13.99
03/06/2024,Medical Expenses,Debit,$93.53
22/04/2024,Category,Credit,$28.00
20/10/2023,Medical Expenses,Credit,$64.78
18/06/2023,Transport,Debit,$18.71
20/03/2023,Entertainment,Debit,$21.66
15/06/2024,Medical Expenses,Debit,$28.78
08/02/2023,Transport,Credit,$82.26
20/04/2024,Transport,Credit,$90.95
23/05/2024,Gifts & Donations,Debit,$78.14
19/11/2023,Transport,Credit,$23.61
08/02/2024,Travel,Debit,$93.67
05/04/2023,Social Activities,Credit,$30.76
08/11/2023,Social Activities,Credit,$68.35
16/07/2023,Food,Debit,$12.03
30/11/2023,Category,Credit,$81.07
26/03/2024,Transport,Debit,$26.03
01/10/2023,Medical Expenses,Debit,$12.15
03/04/2023,Transport,Debit,$89.29
05/05/2023,Entertainment,Debit,$44.49
12/05/2023,Social Activities,Debit,$16.40
27/08/2023,Social Activities,Debit,$13.65
01/06/2023,Transport,Credit,$36.06
31/01/2024,Personal Care,Debit,$56.58
13/09/2023,Medical Expenses,Debit,$65.36
22/09/2023,Transport,Debit,$83.32
31/01/2024,Gifts & Donations,Credit,$62.64
22/12/2023,Category,Debit,$93.58
09/02/2023,Medical Expenses,Credit,$22.87
30/03/2024,Medical Expenses,Debit,$18.12
12/01/2024,Entertainment,Credit,$78.67
27/07/2023,Personal Care,Credit,$22.48
09/11/2023,Food,Debit,$44.83
05/02/2024,Category,Debit,$52.47
24/01/2024,Medical Expenses,Credit,$92.26
09/03/2023,Gifts & Donations,Debit,$20.57
07/09/2023,Social Activities,Credit,$97.24
05/03/2023,Gifts & Donations,Debit,$40.64
16/02/2024,Transport,Debit,$14.87
13/06/2024,Medical Expenses,Debit,$37.64
10/08/2023,Entertainment,Debit,$85.71
08/05/2023,Entertainment,Debit,$48.77
04/06/2023,Travel,Debit,$84.62
14/06/2024,Entertainment,Debit,$42.58
24/12/2023,Food,Credit,$5.99
14/04/2024,Category,Debit,$49.46
05/10/2023,Food,Credit,$52.71
13/05/2023,Transport,Debit,$27.17
17/09/2023,Medical Expenses,Debit,$9.32
11/06/2024,Social Activities,Credit,$25.82
27/11/2023,Gifts & Donations,Debit,$96.11
16/09/2023,Transport,Debit,$8.24
26/10/2023,Personal Care,Debit,$95.01
06/01/2024,Social Activities,Credit,$60.31
02/07/2023,Social Activities,Credit,$43.75
27/02/2024,Gifts & Donations,Credit,$5.55
01/02/2024,Travel,Credit,$40.45
06/08/2023,Travel,Debit,$10.85
24/07/2023,Transport,Credit,$5.91
16/04/2023,Social Activities,Credit,$95.07
07/04/2023,Personal Care,Credit,$15.49
06/04/2023,Personal Care,Credit,$44.93
18/11/2023,Food,Credit,$100.48
18/04/2024,Medical Expenses,Credit,$92.42
25/11/2023,Social Activities,Credit,$40.88
04/03/2023,Category,Credit,$56.74
02/06/2024,Social Activities,Debit,$34.21
10/06/2024,Food,Credit,$54.75
26/05/2023,Medical Expenses,Credit,$26.22
07/09/2023,Personal Care,Credit,$33.60
13/03/2023,Category,Debit,$83.34
16/05/2024,Category,Credit,$64.35
29/01/2024,Social Activities,Debit,$35.60
17/04/2023,Transport,Debit,$39.16
01/05/2023,Social Activities,Debit,$80.07
19/05/2024,Transport,Credit,$46.64
13/12/2023,Personal Care,Debit,$70.84
06/08/2023,Food,Debit,$98.12
03/11/2023,Gifts & Donations,Credit,$22.73
03/10/2023,Entertainment,Debit,$43.37
01/06/2023,Personal Care,Credit,$37.15
02/09/2023,Transport,Debit,$26.53
24/04/2024,Travel,Credit,$83.72
17/10/2023,Medical Expenses,Debit,$35.26
05/11/2023,Transport,Credit,$85.44
15/01/2023,Entertainment,Credit,$51.82
07/12/2023,Travel,Credit,$67.57
02/02/2023,Medical Expenses,Credit,$49.42
13/05/2023,Transport,Credit,$9.68
21/05/2023,Transport,Credit,$87.17
05/05/2024,Social Activities,Debit,$56.55
09/01/2023,Transport,Credit,$94.05
24/10/2023,Food,Debit,$91.11
08/01/2023,Category,Debit,$76.94
01/05/2024,Medical Expenses,Debit,$35.90
02/12/2023,Transport,Credit,$17.56
11/02/2023,Personal Care,Debit,$83.10
12/05/2024,Travel,Debit,$19.11
05/06/2023,Gifts & Donations,Debit,$18.42
31/10/2023,Gifts & Donations,Credit,$43.97
21/01/2023,Travel,Debit,$93.92
15/05/2023,Social Activities,Debit,$16.08
21/01/2024,Food,Debit,$25.03
16/04/2023,Gifts & Donations,Credit,$22.16
03/10/2023,Personal Care,Debit,$54.93
06/02/2024,Travel,Debit,$51.23
20/05/2023,Food,Debit,$58.71
25/01/2023,Transport,Credit,$92.50
25/02/2023,Transport,Debit,$30.72
21/01/2024,Medical Expenses,Credit,$79.09
02/03/2023,Entertainment,Debit,$42.67
30/09/2023,Gifts & Donations,Debit,$8.75
31/10/2023,Category,Credit,$99.32
20/03/2023,Social Activities,Debit,$10.04
05/04/2024,Travel,Credit,$17.77
24/03/2023,Social Activities,Credit,$43.43
09/02/2023,Personal Care,Credit,$25.48
06/06/2023,Social Activities,Debit,$9.90
19/02/2023,Travel,Credit,$33.66
05/08/2023,Travel,Debit,$17.93
08/05/2024,Personal Care,Credit,$82.70
17/10/2023,Category,Debit,$57.74
09/04/2023,Personal Care,Debit,$71.99
17/06/2023,Gifts & Donations,Credit,$78.07
31/10/2023,Personal Care,Debit,$20.43
07/04/2023,Transport,Debit,$51.89
27/10/2023,Personal Care,Credit,$73.70
26/02/2023,Personal Care,Debit,$13.93
20/05/2023,Transport,Debit,$100.62
24/04/2024,Transport,Debit,$66.93
22/05/2024,Transport,Credit,$62.31
22/01/2024,Travel,Debit,$16.19
14/10/2023,Gifts & Donations,Credit,$77.65
26/02/2023,Travel,Debit,$11.13
18/12/2023,Category,Credit,$99.64
12/06/2024,Gifts & Donations,Debit,$14.20
24/05/2023,Food,Debit,$89.20
08/02/2023,Medical Expenses,Debit,$94.63
24/02/2023,Social Activities,Credit,$22.42
17/06/2023,Travel,Debit,$49.48
30/04/2023,Medical Expenses,Credit,$77.61
01/09/2023,Food,Debit,$95.25
10/09/2023,Travel,Debit,$87.73
07/01/2024,Gifts & Donations,Debit,$14.64
10/06/2023,Category,Credit,$91.82
24/08/2023,Entertainment,Credit,$81.95
15/12/2023,Social Activities,Debit,$24.24
08/11/2023,Medical Expenses,Debit,$46.65
13/03/2023,Personal Care,Credit,$86.02
29/05/2024,Social Activities,Debit,$42.08
15/05/2023,Personal Care,Debit,$64.55
01/02/2024,Entertainment,Debit,$20.96
18/06/2024,Personal Care,Credit,$69.39
20/06/2023,Social Activities,Debit,$52.03
21/04/2024,Category,Credit,$69.29
22/09/2023,Travel,Credit,$56.08
09/08/2023,Gifts & Donations,Credit,$13.73
09/01/2024,Travel,Credit,$39.96
19/11/2023,Social Activities,Debit,$78.80
07/04/2024,Food,Credit,$70.53
30/06/2023,Medical Expenses,Debit,$84.83
28/05/2023,Category,Credit,$31.68
26/01/2024,Transport,Credit,$69.23
07/06/2024,Transport,Debit,$37.16
09/05/2023,Travel,Debit,$38.88
23/08/2023,Entertainment,Credit,$20.89
07/07/2023,Category,Debit,$10.77
07/03/2024,Entertainment,Credit,$83.44
14/04/2024,Gifts & Donations,Credit,$35.19
14/07/2023,Gifts & Donations,Credit,$78.26
30/03/2024,Social Activities,Credit,$60.20
01/01/2024,Personal Care,Debit,$31.08
04/04/2023,Category,Debit,$45.11
26/11/2023,Transport,Debit,$81.20
15/01/2023,Category,Debit,$15.79
23/06/2023,Food,Credit,$62.11
02/04/2023,Personal Care,Credit,$38.94
14/01/2024,Medical Expenses,Credit,$40.23
21/02/2024,Medical Expenses,Credit,$29.55
14/01/2023,Entertainment,Debit,$35.40
26/09/2023,Gifts & Donations,Credit,$13.08
14/09/2023,Transport,Credit,$42.21
11/03/2023,Food,Credit,$26.17
22/10/2023,Transport,Credit,$47.99
01/01/2024,Entertainment,Credit,$78.91
20/03/2023,Gifts & Donations,Debit,$88.01
01/05/2023,Entertainment,Credit,$67.20
11/01/2024,Medical Expenses,Credit,$28.02
03/01/2023,Food,Debit,$85.94
08/04/2023,Travel,Debit,$27.30
10/12/2023,Travel,Debit,$97.26
15/01/2023,Social Activities,Debit,$27.87
10/11/2023,Personal Care,Credit,$24.39
15/03/2024,Entertainment,Credit,$12.49
18/04/2023,Entertainment,Debit,$43.41
16/03/2023,Food,Credit,$90.97
17/03/2024,Category,Credit,$63.19
19/04/2024,Gifts & Donations,Debit,$9.06
09/09/2023,Category,Credit,$84.97
26/01/2023,Medical Expenses,Debit,$89.29
01/07/2023,Social Activities,Debit,$55.93
10/03/2024,Transport,Debit,$74.81
15/02/2024,Travel,Credit,$81.29
31/12/2023,Food,Credit,$91.53
04/04/2023,Gifts & Donations,Debit,$14.49
22/02/2023,Social Activities,Credit,$75.77
21/02/2024,Entertainment,Debit,$69.40
27/02/2023,Gifts & Donations,Credit,$41.53
05/05/2024,Transport,Credit,$20.22
08/07/2023,Social Activities,Debit,$37.79
10/09/2023,Transport,Credit,$75.55
08/07/2023,Food,Credit,$51.26
16/04/2023,Food,Debit,$21.84
07/04/2024,Transport,Debit,$44.99
09/07/2023,Social Activities,Debit,$40.92
22/11/2023,Personal Care,Debit,$40.72
18/01/2023,Social Activities,Credit,$70.68
02/04/2023,Food,Debit,$46.71
02/03/2024,Gifts & Donations,Credit,$16.14
30/10/2023,Transport,Debit,$67.30
06/04/2023,Gifts & Donations,Debit,$77.67
29/09/2023,Gifts & Donations,Debit,$96.54
05/10/2023,Entertainment,Debit,$100.37
06/03/2023,Entertainment,Credit,$30.56
25/03/2024,Travel,Credit,$26.26
08/05/2024,Gifts & Donations,Debit,$64.67
28/03/2023,Category,Debit,$23.07
02/03/2023,Category,Credit,$53.57
15/04/2024,Travel,Debit,$94.36
23/01/2023,Transport,Debit,$75.48
14/04/2023,Social Activities,Credit,$46.72
